Train: [18][0/25], lr: 0.00030	Time 0.324 (0.324)	Data 0.302 (0.302)	Prec@1 100.000 (100.000)	Prec@1 12.500 (12.500)	Prec@1 12.500 (12.500)	Prec@5 100.000 (100.000)	Prec@5 78.125 (78.125)	Prec@5 78.125 (78.125)	Loss 0.0407 (0.0407)   loss_verb 0.0407   loss_noun 2.0728	
Train: [19][0/25], lr: 0.00030	Time 0.336 (0.336)	Data 0.321 (0.321)	Prec@1 100.000 (100.000)	Prec@1 15.625 (15.625)	Prec@1 15.625 (15.625)	Prec@5 100.000 (100.000)	Prec@5 85.938 (85.938)	Prec@5 85.938 (85.938)	Loss 0.0628 (0.0628)   loss_verb 0.0628   loss_noun 2.0671	
Train: [20][0/25], lr: 0.00003	Time 0.312 (0.312)	Data 0.290 (0.290)	Prec@1 100.000 (100.000)	Prec@1 18.750 (18.750)	Prec@1 18.750 (18.750)	Prec@5 100.000 (100.000)	Prec@5 76.562 (76.562)	Prec@5 76.562 (76.562)	Loss 0.0629 (0.0629)   loss_verb 0.0629   loss_noun 2.0726	
Train: [21][0/25], lr: 0.00003	Time 0.333 (0.333)	Data 0.321 (0.321)	Prec@1 100.000 (100.000)	Prec@1 14.062 (14.062)	Prec@1 14.062 (14.062)	Prec@5 100.000 (100.000)	Prec@5 76.562 (76.562)	Prec@5 76.562 (76.562)	Loss 0.1239 (0.1239)   loss_verb 0.1239   loss_noun 2.0722	
Train: [22][0/25], lr: 0.00003	Time 0.315 (0.315)	Data 0.303 (0.303)	Prec@1 100.000 (100.000)	Prec@1 14.062 (14.062)	Prec@1 14.062 (14.062)	Prec@5 100.000 (100.000)	Prec@5 78.125 (78.125)	Prec@5 78.125 (78.125)	Loss 0.0609 (0.0609)   loss_verb 0.0609   loss_noun 2.0723	
Train: [23][0/25], lr: 0.00003	Time 0.335 (0.335)	Data 0.317 (0.317)	Prec@1 100.000 (100.000)	Prec@1 20.312 (20.312)	Prec@1 20.312 (20.312)	Prec@5 100.000 (100.000)	Prec@5 75.000 (75.000)	Prec@5 75.000 (75.000)	Loss 0.0672 (0.0672)   loss_verb 0.0672   loss_noun 2.0705	
Train: [24][0/25], lr: 0.00003	Time 0.316 (0.316)	Data 0.299 (0.299)	Prec@1 98.438 (98.438)	Prec@1 20.312 (20.312)	Prec@1 18.750 (18.750)	Prec@5 100.000 (100.000)	Prec@5 73.438 (73.438)	Prec@5 73.438 (73.438)	Loss 0.1235 (0.1235)   loss_verb 0.1235   loss_noun 2.0718	
Train: [25][0/25], lr: 0.00003	Time 0.328 (0.328)	Data 0.310 (0.310)	Prec@1 100.000 (100.000)	Prec@1 15.625 (15.625)	Prec@1 15.625 (15.625)	Prec@5 100.000 (100.000)	Prec@5 65.625 (65.625)	Prec@5 65.625 (65.625)	Loss 0.0994 (0.0994)   loss_verb 0.0994   loss_noun 2.0758	
Train: [26][0/25], lr: 0.00003	Time 0.330 (0.330)	Data 0.313 (0.313)	Prec@1 100.000 (100.000)	Prec@1 14.062 (14.062)	Prec@1 14.062 (14.062)	Prec@5 100.000 (100.000)	Prec@5 71.875 (71.875)	Prec@5 71.875 (71.875)	Loss 0.0639 (0.0639)   loss_verb 0.0639   loss_noun 2.0748	
Train: [27][0/25], lr: 0.00003	Time 0.305 (0.305)	Data 0.287 (0.287)	Prec@1 100.000 (100.000)	Prec@1 23.438 (23.438)	Prec@1 23.438 (23.438)	Prec@5 100.000 (100.000)	Prec@5 73.438 (73.438)	Prec@5 73.438 (73.438)	Loss 0.0504 (0.0504)   loss_verb 0.0504   loss_noun 2.0722	
Train: [28][0/25], lr: 0.00003	Time 0.325 (0.325)	Data 0.312 (0.312)	Prec@1 100.000 (100.000)	Prec@1 12.500 (12.500)	Prec@1 12.500 (12.500)	Prec@5 100.000 (100.000)	Prec@5 73.438 (73.438)	Prec@5 73.438 (73.438)	Loss 0.0917 (0.0917)   loss_verb 0.0917   loss_noun 2.0713	
Train: [29][0/25], lr: 0.00003	Time 0.329 (0.329)	Data 0.309 (0.309)	Prec@1 100.000 (100.000)	Prec@1 17.188 (17.188)	Prec@1 17.188 (17.188)	Prec@5 100.000 (100.000)	Prec@5 76.562 (76.562)	Prec@5 76.562 (76.562)	Loss 0.0547 (0.0547)   loss_verb 0.0547   loss_noun 2.0712	
Train: [30][0/25], lr: 0.00003	Time 0.330 (0.330)	Data 0.310 (0.310)	Prec@1 100.000 (100.000)	Prec@1 20.312 (20.312)	Prec@1 20.312 (20.312)	Prec@5 100.000 (100.000)	Prec@5 81.250 (81.250)	Prec@5 81.250 (81.250)	Loss 0.0865 (0.0865)   loss_verb 0.0865   loss_noun 2.0710	
total time: 55.422 
