Train: [1][0/13], lr: 0.00300	Time 0.592 (0.592)	Data 0.537 (0.537)	Prec@1 10.156 (10.156)	Prec@1 0.781 (0.781)	Prec@1 0.000 (0.000)	Prec@5 59.375 (59.375)	Prec@5 46.875 (46.875)	Prec@5 28.906 (28.906)	Loss 2.0798 (2.0798)   loss_verb 2.0798   loss_noun 2.0805	
Train: [2][0/13], lr: 0.00300	Time 0.527 (0.527)	Data 0.471 (0.471)	Prec@1 25.000 (25.000)	Prec@1 0.781 (0.781)	Prec@1 0.000 (0.000)	Prec@5 91.406 (91.406)	Prec@5 49.219 (49.219)	Prec@5 46.094 (46.094)	Loss 1.8571 (1.8571)   loss_verb 1.8571   loss_noun 2.0853	
Train: [3][0/13], lr: 0.00300	Time 0.544 (0.544)	Data 0.491 (0.491)	Prec@1 32.031 (32.031)	Prec@1 3.125 (3.125)	Prec@1 0.781 (0.781)	Prec@5 92.188 (92.188)	Prec@5 56.250 (56.250)	Prec@5 51.562 (51.562)	Loss 1.6149 (1.6149)   loss_verb 1.6149   loss_noun 2.0848	
Train: [4][0/13], lr: 0.00300	Time 0.544 (0.544)	Data 0.483 (0.483)	Prec@1 45.312 (45.312)	Prec@1 5.469 (5.469)	Prec@1 0.000 (0.000)	Prec@5 92.188 (92.188)	Prec@5 64.062 (64.062)	Prec@5 59.375 (59.375)	Loss 1.1806 (1.1806)   loss_verb 1.1806   loss_noun 2.0842	
Train: [5][0/13], lr: 0.00300	Time 0.568 (0.568)	Data 0.512 (0.512)	Prec@1 80.469 (80.469)	Prec@1 7.031 (7.031)	Prec@1 3.125 (3.125)	Prec@5 92.188 (92.188)	Prec@5 71.094 (71.094)	Prec@5 63.281 (63.281)	Loss 0.6841 (0.6841)   loss_verb 0.6841   loss_noun 2.0808	
Train: [6][0/13], lr: 0.00300	Time 0.526 (0.526)	Data 0.484 (0.484)	Prec@1 83.594 (83.594)	Prec@1 8.594 (8.594)	Prec@1 6.250 (6.250)	Prec@5 90.625 (90.625)	Prec@5 71.094 (71.094)	Prec@5 62.500 (62.500)	Loss 0.4245 (0.4245)   loss_verb 0.4245   loss_noun 2.0820	
Train: [7][0/13], lr: 0.00300	Time 0.522 (0.522)	Data 0.482 (0.482)	Prec@1 83.594 (83.594)	Prec@1 7.812 (7.812)	Prec@1 5.469 (5.469)	Prec@5 92.969 (92.969)	Prec@5 67.969 (67.969)	Prec@5 62.500 (62.500)	Loss 0.4535 (0.4535)   loss_verb 0.4535   loss_noun 2.0829	
Train: [8][0/13], lr: 0.00300	Time 0.526 (0.526)	Data 0.473 (0.473)	Prec@1 91.406 (91.406)	Prec@1 8.594 (8.594)	Prec@1 7.812 (7.812)	Prec@5 95.312 (95.312)	Prec@5 68.750 (68.750)	Prec@5 64.844 (64.844)	Loss 0.2797 (0.2797)   loss_verb 0.2797   loss_noun 2.0819	
Train: [9][0/13], lr: 0.00300	Time 0.507 (0.507)	Data 0.470 (0.470)	Prec@1 89.844 (89.844)	Prec@1 6.250 (6.250)	Prec@1 5.469 (5.469)	Prec@5 92.969 (92.969)	Prec@5 64.844 (64.844)	Prec@5 58.594 (58.594)	Loss 0.2506 (0.2506)   loss_verb 0.2506   loss_noun 2.0886	
Train: [10][0/13], lr: 0.00030	Time 0.513 (0.513)	Data 0.458 (0.458)	Prec@1 91.406 (91.406)	Prec@1 7.031 (7.031)	Prec@1 5.469 (5.469)	Prec@5 95.312 (95.312)	Prec@5 67.188 (67.188)	Prec@5 64.062 (64.062)	Loss 0.1975 (0.1975)   loss_verb 0.1975   loss_noun 2.0848	
Train: [11][0/13], lr: 0.00030	Time 0.523 (0.523)	Data 0.479 (0.479)	Prec@1 88.281 (88.281)	Prec@1 11.719 (11.719)	Prec@1 8.594 (8.594)	Prec@5 94.531 (94.531)	Prec@5 71.875 (71.875)	Prec@5 66.406 (66.406)	Loss 0.2561 (0.2561)   loss_verb 0.2561   loss_noun 2.0791	
